"State","fips","full","pop_2015","Brewery_id","Brewery_name","City","Beer_name","Beer_ID","ABV","IBU","Style","Ounces"
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Aloha B’ak’tun",713,0.07,60,"Belgian Strong Dark Ale",12
"HI","15","Hawaii",1431603,204,"Mehana Brewing Co.","Hilo","Mauna Kea Pale Ale",2176,0.054,42,"American Pale Ale (APA)",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Liquid Breadfruit",712,0.082,12,"Fruit / Vegetable Beer",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Lemongrass Saison",1271,0.05,120,"Saison / Farmhouse Ale",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Lahaina Town Brown",1578,0.051,20,"American Brown Ale",12
"HI","15","Hawaii",1431603,205,"Hawai'i Nui Brewing Co.","Hilo","Sunset Amber",2182,0.054,70,"American Pale Ale (APA)",12
"HI","15","Hawaii",1431603,440,"Kona Brewing Company","Kona","Longboard Island Lager",1070,0.046,18,"American Amber / Red Lager",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Bikini Blonde Lager",33,0.045,18,"Munich Helles Lager",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","La Perouse White",547,0.05,12,"Witbier",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Flyin' HI.P.Hay",435,0.068,68,"American IPA",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Mana Wheat",313,0.055,15,"American Pale Wheat Ale",12
"HI","15","Hawaii",1431603,376,"Maui Brewing Company","Lahaina","Big Swell IPA",31,0.062,65,"American IPA",12
"HI","15","Hawaii",1431603,440,"Kona Brewing Company","Kona","Longboard Island Lager",1220,0.046,18,"American Amber / Red Lager",16
"HI","15","Hawaii",1431603,440,"Kona Brewing Company","Kona","Longboard Island Lager",590,0.046,18,"American Amber / Red Lager",12
"HI","15","Hawaii",1431603,440,"Kona Brewing Company","Kona","Longboard Island Lager",1274,0.046,18,"American Amber / Red Lager",24
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Dirty Blonde Chocolate Ale",1275,0.048,12,"American Blonde Ale",12
"IA","19","Iowa",3123899,483,"Confluence Brewing Company","Des Moines","Capital Gold Golden Lager",969,0.048,22,"German Pilsener",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Barrel Aged Farmer",1574,0.07,22,"American Brown Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","483 Pale Ale (2010)",190,0.053,48,"American Pale Ale (APA)",16
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","Boji Beach Golden Rye Ale",600,0.05,23,"Rye Beer",16
"IA","19","Iowa",3123899,483,"Confluence Brewing Company","Des Moines","Des Moines IPA",970,0.068,75,"American IPA",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Owney Irish Style Red Ale",1064,0.05,30,"Irish Red Ale",16
"IA","19","Iowa",3123899,483,"Confluence Brewing Company","Des Moines","Farmer John's Multi-Grain Ale",968,0.056,21,"American Blonde Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Big Cock IPA",540,0.07,70,"American IPA",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Redband Stout",371,0.06,36,"American Stout",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Chickawawa Lemonale",1604,0.05,5,"Fruit / Vegetable Beer",12
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","483 Pale Ale",863,0.053,48,"American Pale Ale (APA)",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Great River Golden Ale",1446,0.048,12,"American Blonde Ale",12
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Widespread Wit",865,0.055,10,"Witbier",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Farmer Brown Ale",655,0.07,22,"American Brown Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Roller Dam Red Ale",864,0.054,30,"Irish Red Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Oktoberfest",539,0.059,25,"Märzen / Oktoberfest",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Hop A Potamus Double Dark Rye Pale Ale",672,0.09,99,"Rye Beer",16
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","Winter Games Select #32 Stout",601,0.057,26,"American Stout",16
"IA","19","Iowa",3123899,469,"Peace Tree Brewing Company","Knoxville","Side Kick Kölsch",1087,0.05,60,"Kölsch",12
"IA","19","Iowa",3123899,209,"Kalona Brewing Company","Kalona","Sucha Much IPA",2163,0.071,108,"American IPA",12
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","The Hole in Hadrian's Wall",1059,0.095,19,"Scottish Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","40th Annual Bix Street Fest Copper Ale (Current)",517,0.048,25,"American Amber / Red Ale",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Roller Dam Red Ale (2010)",189,0.054,30,"Irish Red Ale",16
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","33 Select Brown Ale",1058,0.065,26,"American Brown Ale",16
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","Boji Blue Pale Ale",602,0.05,45,"American Pale Ale (APA)",16
"IA","19","Iowa",3123899,472,"Okoboji Brewing Company","Spirit Lake","Midwest Charm Farmhouse Ale",603,0.06,29,"Saison / Farmhouse Ale",16
"IA","19","Iowa",3123899,209,"Kalona Brewing Company","Kalona","Lewbricator Wheat Dopplebock ",2162,0.075,24,"Doppelbock",12
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Aaah Bock Lager",1028,0.06,138,"Vienna Lager",16
"IA","19","Iowa",3123899,366,"Great River Brewery","Davenport","Dos Pistolas",1244,0.048,20,"Vienna Lager",12
"ID","16","Idaho",1654930,308,"Payette Brewing Company","Garden City","Outlaw IPA",1048,0.062,65,"American IPA",12
"ID","16","Idaho",1654930,314,"Slanted Rock Brewing Company","Meridian","Initial Point India Pale Ale",1609,0.071,92,"American IPA",12
"ID","16","Idaho",1654930,308,"Payette Brewing Company","Garden City","Payette Pale Ale",890,0.048,35,"American Pale Ale (APA)",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Thanksgiving Ale",1798,0.05,108,"Kölsch",12
"ID","16","Idaho",1654930,308,"Payette Brewing Company","Garden City","Rodeo Rye Pale Ale",1805,0.042,35,"American Pale Ale (APA)",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Dagger Falls IPA",879,0.063,100,"American IPA",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Galena Golden",1152,0.043,108,"American Blonde Ale",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Sockeye Maibock",1181,0.064,120,"Maibock / Helles Bock",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Socktoberfest",1482,0.06,108,"Märzen / Oktoberfest",16
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Sockeye Belgian Style Summer Ale",1298,0.05,138,"Witbier",16
"ID","16","Idaho",1654930,170,"Crooked Fence Brewing Company","Garden City","3 Picket Porter",1105,0.055,99,"American Porter",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Hell-Diver Pale Ale",1151,0.052,32,"American Pale Ale (APA)",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Old Devil's Tooth",1160,0.099,100,"American Barleywine",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Barrel Aged Seven Devils Imperial Stout",1425,0.099,120,"American Double / Imperial Stout",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Boise Co-Op Two Score Ale",1424,0.055,108,"Saison / Farmhouse Ale",16
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Double Dagger Imperial IPA",1655,0.092,108,"American Double / Imperial IPA",12
"ID","16","Idaho",1654930,170,"Crooked Fence Brewing Company","Garden City","Aviator Raspberry Blonde",2293,0.049,25,"American Blonde Ale",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Power House Porter",1076,0.057,138,"American Porter",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Woolybugger Wheat",1150,0.046,12,"American Pale Wheat Ale",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Hopnoxious Imperial IPA",1447,0.079,108,"American Double / Imperial IPA",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Winterfest",995,0.084,90,"American Strong Ale",16
"ID","16","Idaho",1654930,314,"Slanted Rock Brewing Company","Meridian","Iron Butt Red Ale",1792,0.058,39,"American Amber / Red Ale",12
"ID","16","Idaho",1654930,219,"Laughing Dog Brewing Company","Ponderay","Laughing Dog IPA",1396,0.064,66,"American IPA",12
"ID","16","Idaho",1654930,170,"Crooked Fence Brewing Company","Garden City","Rusty Nail Pale Ale",1104,0.056,108,"American Pale Ale (APA)",12
"ID","16","Idaho",1654930,308,"Payette Brewing Company","Garden City","North Fork Lager",1043,0.044,108,"American Pale Lager",12
"ID","16","Idaho",1654930,219,"Laughing Dog Brewing Company","Ponderay","Laughing Dog Cream Ale",2108,0.05,12,"Cream Ale",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Dagger Falls IPA",1596,0.063,100,"American IPA",12
"ID","16","Idaho",1654930,310,"Sockeye Brewing Company","Boise","Dagger Falls IPA",1595,0.063,100,"American IPA",12
"ID","16","Idaho",1654930,308,"Payette Brewing Company","Garden City","Mutton Buster",775,0.055,25,"American Brown Ale",12
"ID","16","Idaho",1654930,219,"Laughing Dog Brewing Company","Ponderay","Two-One Niner",1397,0.048,9,"American Pilsner",12
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Hoperation Overload",1888,0.096,85,"American Double / Imperial IPA",12
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","One-Hit Wonderful",2532,0.075,61,"Belgian IPA",24
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Daisy Cutter Pale Ale",148,0.052,60,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Cane and Ebel",861,0.07,68,"American Strong Ale",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","God Damn Pigeon Porter",2136,0.082,36,"American Porter",16
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Akari Shogun American Wheat Ale",1066,0.055,17,"American Pale Wheat Ale",16
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Guest Lager",1448,0.08,22,"American Double / Imperial Pilsner",16
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Abbey's Single (2015- )",2505,0.049,22,"Abbey Single Ale",12
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Weissenheimer",2550,0.052,16,"Hefeweizen",12
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Wet Hot American Wheat Ale",1662,0.05,22,"American Pale Wheat Ale",16
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Daft Funk",2530,0.043,8,"Berliner Weissbier",24
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Love In An Ellavator",2529,0.075,70,"American IPA",24
"IL","17","Illinois",12859995,197,"Goose Island Brewery Company","Chicago","Goose Island India Pale Ale",2198,0.059,55,"American IPA",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Working for the Weekend",2135,0.079,100,"American Double / Imperial IPA",16
"IL","17","Illinois",12859995,53,"Pipeworks Brewing Company","Chicago","Blood of the Unicorn",2559,0.065,35,"American Amber / Red Ale",16
"IL","17","Illinois",12859995,89,"Goose Island Brewing Company","Chicago","312 Urban Pale Ale",2457,0.054,30,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Sidekick Extra Pale Ale",1121,0.051,36,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Anti-Hero IPA",415,0.065,70,"American IPA",12
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Heyoka IPA",1753,0.07,75,"American IPA",16
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Misty Mountain Hop",2533,0.075,70,"American IPA",24
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Threadless IPA",481,0.075,85,"American IPA",16
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Vertex IPA",2025,0.063,76,"American IPA",12
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Cut Throat Pale Ale",809,0.055,75,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Spiteful IPA",1819,0.062,104,"American IPA",12
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Spin Doctor",2528,0.053,51,"American Pale Ale (APA)",24
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Angry Adam",2134,0.06,20,"American Amber / Red Ale",16
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Ball & Chain (2014)",2271,0.058,40,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Gossamer Golden Ale",149,0.042,15,"American Blonde Ale",16
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Sobek & Set",1664,0.08,80,"American Black Ale",16
"IL","17","Illinois",12859995,65,"SlapShot Brewing Company","Chicago","Tripel Deke",2536,0.082,138,"Tripel",24
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Pumpkin Ale",1618,0.045,13,"Pumpkin Ale",12
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Vinyl Frontier",2535,0.083,93,"American Double / Imperial IPA",24
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Strawberry Blonde",2015,0.05,24,"Fruit / Vegetable Beer",12
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Here Gose Nothin'",2021,0.05,12,"Gose",12
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Pony Pilsner",1134,0.057,20,"German Pilsener",16
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Freedom Fries",2109,0.055,20,"American Stout",16
"IL","17","Illinois",12859995,211,"Temperance Beer Company","Evanston","Gatecrasher",1939,0.066,86,"English India Pale Ale (IPA)",12
"IL","17","Illinois",12859995,211,"Temperance Beer Company","Evanston","Smittytown",2155,0.048,45,"Extra Special / Strong Bitter (ESB)",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Wobble",2497,0.063,69,"American IPA",16
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Wild Onion Pumpkin Ale (2010)",334,0.045,17,"Pumpkin Ale",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Fistmas Ale",418,0.061,31,"Herbed / Spiced Beer",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Outlaw IPA (2015)",642,0.065,70,"American IPA",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Hobnob B & B Pale Ale",1040,0.065,65,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Secret Stache Stout",941,0.053,37,"American Stout",16
"IL","17","Illinois",12859995,65,"SlapShot Brewing Company","Chicago","Monkey Dancing On A Razor Blade",2537,0.085,65,"Belgian IPA",24
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Paddy Pale Ale",162,0.056,41,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Hardcore Chimera",1981,0.09,110,"American Double / Imperial IPA",16
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Nuclear Winter",1663,0.086,50,"Belgian Strong Dark Ale",16
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Fascist Pig Ale",935,0.08,72,"American Amber / Red Ale",16
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Cut Throat Pale Ale (2011)",351,0.055,28,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,211,"Temperance Beer Company","Evanston","Greenwood Beach",1982,0.04,33,"Fruit / Vegetable Beer",12
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","En Parfaite Harmonie",2531,0.065,99,"Saison / Farmhouse Ale",24
"IL","17","Illinois",12859995,57,"BuckleDown Brewing","Lyons","Painted Turtle",2552,0.045,65,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Meat Wave",849,0.06,50,"English India Pale Ale (IPA)",16
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Hop Slayer Double IPA (2011)",740,0.082,100,"American Double / Imperial IPA",12
"IL","17","Illinois",12859995,41,"Big Muddy Brewing","Murphysboro","Galaxy IPA",2585,0.075,60,"American IPA",16
"IL","17","Illinois",12859995,41,"Big Muddy Brewing","Murphysboro","Blueberry Blonde",2586,0.06,18,"Fruit / Vegetable Beer",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Hop Slayer Double IPA (2011)",430,0.082,100,"American Double / Imperial IPA",12
"IL","17","Illinois",12859995,66,"Mikerphone Brewing","Chicago","Disco Superfly",2534,0.08,70,"American IPA",24
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Bitter Biker Double IPA",1821,0.096,98,"American Double / Imperial IPA",12
"IL","17","Illinois",12859995,553,"Mickey Finn's Brewery","Libertyville","Mickey Finn's Amber Ale",174,0.056,50,"American Amber / Red Ale",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Night Cat (2014)",1630,0.058,43,"American Dark Wheat Ale",12
"IL","17","Illinois",12859995,89,"Goose Island Brewing Company","Chicago","312 Urban Wheat Ale (2012)",581,0.042,20,"American Pale Wheat Ale",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Fat Badger",1633,0.058,45,"Irish Red Ale",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Dog Days Lager",1284,0.051,17,"Dortmunder / Export Lager",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Ghost Bike Pale Ale",1820,0.073,40,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Bottom Up Belgian Wit",414,0.05,14,"Witbier",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Wild Onion Summer Wit",398,0.042,13,"Witbier",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Eugene Porter",416,0.068,28,"American Porter",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Alley Time",1634,0.06,40,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,257,"Finch's Beer Company","Chicago","Golden Wing Blonde Ale",350,0.047,12,"American Blonde Ale",16
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Night Cat",2246,0.058,43,"American Dark Wheat Ale",12
"IL","17","Illinois",12859995,89,"Goose Island Brewing Company","Chicago","312 Urban Wheat Ale",2201,0.042,18,"American Pale Wheat Ale",16
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Oktoberfest Revolution",417,0.057,25,"Märzen / Oktoberfest",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Testudo",1041,0.045,20,"Bière de Garde",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Fist City",2576,0.055,40,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,328,"Half Acre Beer Company","Chicago","Over Ale",352,0.06,21,"American Brown Ale",16
"IL","17","Illinois",12859995,58,"Destihl Brewery","Bloomington","Abbey's Single Ale (Current)",1887,0.049,22,"Abbey Single Ale",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Hop Slayer Double IPA",1619,0.082,100,"American Double / Imperial IPA",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Big Bowl Blonde Ale",1364,0.05,30,"American Brown Ale",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","A Little Crazy",1133,0.068,9,"Belgian Pale Ale",12
"IL","17","Illinois",12859995,45,"Revolution Brewing Company","Chicago","Rosa Hibiscus Ale",609,0.058,15,"Herbed / Spiced Beer",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Phat Chance",971,0.052,27,"American Blonde Ale",12
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","In the Weeds",1632,0.055,16,"American Pale Wheat Ale",12
"IL","17","Illinois",12859995,56,"Pollyanna Brewing Company","Lemont","Mazzie",2553,0.054,45,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,362,"Wild Onion Brewing Company","Lake Barrington","Jack Stout",366,0.06,23,"Oatmeal Stout",12
"IL","17","Illinois",12859995,75,"Two Brothers Brewing Company","Warrenville","Atom Smasher",1042,0.077,23,"Märzen / Oktoberfest",12
"IL","17","Illinois",12859995,55,"Flesk Brewing Company","Lombard","Moped Traveler",2554,0.055,64,"American Pale Ale (APA)",16
"IL","17","Illinois",12859995,176,"Spiteful Brewing Company","Chicago","Bitter Biker Double IPA",2206,0.096,98,"American Double / Imperial IPA",16
"IL","17","Illinois",12859995,89,"Goose Island Brewing Company","Chicago","312 Urban Pale Ale",2202,0.054,30,"American Pale Ale (APA)",12
"IL","17","Illinois",12859995,89,"Goose Island Brewing Company","Chicago","312 Urban Wheat Ale",1829,0.042,18,"American Pale Wheat Ale",12
"IN","18","Indiana",6619680,166,"Great Crescent Brewery","Aurora","Great Crescent IPA (2011)",436,0.062,60,"American IPA",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","The Deuce",934,0.07,40,"American Brown Ale",16
"IN","18","Indiana",6619680,206,"People's Brewing Company","Lafayette","People's Pilsner",1794,0.045,30,"German Pilsener",12
"IN","18","Indiana",6619680,206,"People's Brewing Company","Lafayette","Amazon Princess IPA",2168,0.062,62,"American IPA",12
"IN","18","Indiana",6619680,25,"Burn 'Em Brewing","Michigan City","Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16
"IN","18","Indiana",6619680,25,"Burn 'Em Brewing","Michigan City","Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16
"IN","18","Indiana",6619680,166,"Great Crescent Brewery","Aurora","Great Crescent IPA",1701,0.062,60,"American IPA",16
"IN","18","Indiana",6619680,25,"Burn 'Em Brewing","Michigan City","Kreamed Corn",2470,0.06,57,"Cream Ale",12
"IN","18","Indiana",6619680,178,"18th Street Brewery","Gary","Sex and Candy",2262,0.075,85,"American IPA",12
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Fistful Of Hops Blue",1999,0.064,75,"American IPA",16
"IN","18","Indiana",6619680,166,"Great Crescent Brewery","Aurora","Great Crescent Oktoberfest Lager",930,0.057,25,"Märzen / Oktoberfest",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16
"IN","18","Indiana",6619680,251,"Chapman's Brewing","Angola","Ale Cider",2018,0.065,8,"Fruit / Vegetable Beer",16
"IN","18","Indiana",6619680,24,"Indiana City Brewing","Indianapolis","Tribute",2609,0.058,58,"American Pale Ale (APA)",12
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16
"IN","18","Indiana",6619680,316,"Cutters Brewing Company","Avon","Lost River Blonde Ale",1789,0.049,16,"American Blonde Ale",16
"IN","18","Indiana",6619680,178,"18th Street Brewery","Gary","Regional Ring Of Fire",2098,0.073,120,"Saison / Farmhouse Ale",12
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Cowbell",2164,0.054,23,"American Porter",16
"IN","18","Indiana",6619680,166,"Great Crescent Brewery","Aurora","Great Crescent Brown Ale",649,0.045,36,"American Brown Ale",16
"IN","18","Indiana",6619680,23,"Four Fathers Brewing ","Valparaiso","Feel Like Maplin' Love",2613,0.055,57,"Oatmeal Stout",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16
"IN","18","Indiana",6619680,251,"Chapman's Brewing","Angola","Pail Ale",2017,0.055,30,"American Pale Ale (APA)",16
"IN","18","Indiana",6619680,206,"People's Brewing Company","Lafayette","Farmer's Daughter Wheat",1956,0.042,30,"American Pale Wheat Ale",12
"IN","18","Indiana",6619680,178,"18th Street Brewery","Gary","Foreman",2259,0.065,48,"American Porter",12
"IN","18","Indiana",6619680,23,"Four Fathers Brewing ","Valparaiso","The Gadget",2610,0.064,90,"American IPA",16
"IN","18","Indiana",6619680,178,"18th Street Brewery","Gary","Cone Crusher",2131,0.086,138,"American Double / Imperial IPA",12
"IN","18","Indiana",6619680,18,"Tin Man Brewing Company","Evansville","3 Gear Robust Porter",949,0.052,50,"American Porter",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Popcorn Pilsner",1314,0.054,23,"German Pilsener",16
"IN","18","Indiana",6619680,316,"Cutters Brewing Company","Avon","Floyd's Folly",1787,0.08,99,"Scottish Ale",16
"IN","18","Indiana",6619680,28,"450 North Brewing Company","Columbus","Honey Kolsch",2217,0.046,15,"Kölsch",16
"IN","18","Indiana",6619680,166,"Great Crescent Brewery","Aurora","Great Crescent Blonde Ale (2011)",389,0.053,22,"American Blonde Ale",16
"IN","18","Indiana",6619680,251,"Chapman's Brewing","Angola","Englishman",2016,0.045,35,"English Brown Ale",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Sunlight Cream Ale",55,0.053,20,"Cream Ale",16
"IN","18","Indiana",6619680,251,"Chapman's Brewing","Angola","Enlighten",2019,0.045,69,"Kölsch",16
"IN","18","Indiana",6619680,25,"Burn 'Em Brewing","Michigan City","3:33 Black IPA",2158,0.072,86,"American IPA",16
"IN","18","Indiana",6619680,23,"Four Fathers Brewing ","Valparaiso","Father's Beer",2612,0.05,26,"Belgian Pale Ale",16
"IN","18","Indiana",6619680,178,"18th Street Brewery","Gary","Troll Destroyer",1980,0.085,90,"Belgian IPA",12
"IN","18","Indiana",6619680,23,"Four Fathers Brewing ","Valparaiso","The 26th",2611,0.06,85,"American IPA",16
"IN","18","Indiana",6619680,27,"Evil Czech Brewery","Mishawaka","Voodoo",2429,0.048,60,"American Porter",16
"IN","18","Indiana",6619680,26,"Sun King Brewing Company","Indianapolis","Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16
"IN","18","Indiana",6619680,27,"Evil Czech Brewery","Mishawaka","Lucky Dog",2430,0.052,87,"American Pale Ale (APA)",16
"IN","18","Indiana",6619680,27,"Evil Czech Brewery","Mishawaka","Blonde Czich",2604,0.049,23,"American Blonde Ale",16
